name,url,sku,group_id,price,in_stock,categories,image_url,keywords
"4-in-1 Tinted Moisturizer Mini in Medium ",https://www.purcosmetics.com/4-in-1-tinted-moisturizer-deluxe-sample,951163010,10260,10,true,"Pur Category|Shop All|Minis",https://www.purcosmetics.com/media/catalog/product/4/i/4in1_mineral_tinted_moisturizer_sample_1.jpg,
"4-in-1 Tinted Moisturizer Mini in Light",https://www.purcosmetics.com/4-in-1-tinted-moisturizer-deluxe-sample,951162010,10260,10,true,"Pur Category|Shop All|Minis",https://www.purcosmetics.com/media/catalog/product/4/i/4in1_mineral_tinted_moisturizer_sample.jpg,
"Afterglow Illuminating Powder",https://www.purcosmetics.com/afterglow,951333030,951333030,25.0000,true,"Pur Category|Cheeks|Shop All|Highlighter|Gluten-Free|Sale |Vegan",https://www.purcosmetics.com/media/catalog/product/a/f/afterglow-powder-open.jpg,
"Air Perfection CC Cushion Foundation in Dark",https://www.purcosmetics.com/air-perfection,951243040,10324,43,true,"Pur Category|Makeup|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/a/i/air-perfection-dark-open.jpg,
"Air Perfection CC Cushion Foundation in Tan",https://www.purcosmetics.com/air-perfection,951243030,10324,43,true,"Pur Category|Makeup|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/a/i/air-perfection-tan-open.jpg,
"Air Perfection CC Cushion Foundation in Medium",https://www.purcosmetics.com/air-perfection,951243020,10324,43,false,"Pur Category|Makeup|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/a/i/air-perfection-medium-open.jpg,
"Air Perfection CC Cushion Foundation in Light",https://www.purcosmetics.com/air-perfection,951243010,10324,43,true,"Pur Category|Makeup|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/a/i/airperfection_light.jpg,
"Big Look Mascara",https://www.purcosmetics.com/big-look-mascara,951451110,951451110,21.0000,true,"Pur Category|Makeup|Eyes|Mascara|Gifts under $50|Shop All|Vegan|Gluten-Free|Vegan",https://www.purcosmetics.com/media/catalog/product/b/i/big-look-mascara-cap-on.jpg,
"Big Look Mascara Mini",https://www.purcosmetics.com/big-look-mascara-mini,951452110,951452110,10.0000,true,"Pur Category|Shop All|Minis",https://www.purcosmetics.com/media/catalog/product/8/5/851452110_mini_biglookmascara_72dpi.jpg,
"Big Look Waterproof Mascara Mini",https://www.purcosmetics.com/big-look-waterproof-mascara-mini,951452030,951452030,10.0000,true,"Pur Category|Shop All|Minis",https://www.purcosmetics.com/media/catalog/product/b/i/big-look-waterproof-mascara-deluxe-sample-cap-appl-to-side.jpg,
"Blush Brush",https://www.purcosmetics.com/blush-brush,951661010,951661010,16.0000,true,"Pur Category|Brushes & Tools|Gifts under $50|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/b/l/blush-brush-1000x1000_1.jpg,
"Brow Perfection Trio",https://www.purcosmetics.com/brow-perfection,951441030,951441030,26.0000,true,"Pur Category|Eyes|Brows|Shop All|Gluten-Free|Sale ",https://www.purcosmetics.com/media/catalog/product/b/r/brow-perfection-trio-1000x1000.jpg,
"Browder in Brunette",https://www.purcosmetics.com/browder,951430030,10388,22,true,"Pur Category|Eyes|Brows|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/b/r/browder-brunette-cap-on-appl-to-side.jpg,
"Browder in Medium Brown",https://www.purcosmetics.com/browder,951430020,10388,22,true,"Pur Category|Eyes|Brows|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/b/r/browder-medium-brown-cap-on-appl-to-side.jpg,
"Browder in Blonde",https://www.purcosmetics.com/browder,951430010,10388,22,true,"Pur Category|Eyes|Brows|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/b/r/browder-blonde-cap-on-appl-to-side.jpg,
"BB Cream in Dark",https://www.purcosmetics.com/cc-cream,951172140,10452,38,true,"Pur Category|Shop All|Sale |Vegan",https://www.purcosmetics.com/media/catalog/product/c/c/cc-cream-1000x1000_1.jpg,
"BB Cream in Tan",https://www.purcosmetics.com/cc-cream,951172130,10452,38,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/c/cc-cream-1000x1000.jpg,
"Ceretin  Serum Age-Defying Concentrate",https://www.purcosmetics.com/ceretin-serum,951185010,951185010,42.0000,true,"Pur Category|Skincare|Serums|Vegan|Gluten Free|Shop All|Shop All|Vegan|Gluten-Free|Vegan",https://www.purcosmetics.com/media/catalog/product/c/e/ceretin-serum-cap-on.jpg,
"Chateau Cheek Stain in Cabernet",https://www.purcosmetics.com/chateau-cheek-stain,951336140,10516,26,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheek-stain-cabernet-cap-on.jpg,
"Chateau Cheek Stain in Prosecco",https://www.purcosmetics.com/chateau-cheek-stain,951336130,10516,26,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheek-stain-prosecco-cap-on.jpg,
"Chateau Cheek Stain in Peach Bellini",https://www.purcosmetics.com/chateau-cheek-stain,951336120,10516,26,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheek-stain-peach-bellini-cap-on.jpg,
"Chateau Cheek Stain in Rose",https://www.purcosmetics.com/chateau-cheek-stain,951336110,10516,26,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheek-stain-rose-cap-on.jpg,
"Chateau Cheeks Cream Blush in Coy",https://www.purcosmetics.com/chateau-cheeks,951334220,10580,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheeks-cream-blush-coy-closed.jpg,
"Chateau Cheeks Cream Blush in Flirt",https://www.purcosmetics.com/chateau-cheeks,951334210,10580,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheeks-cream-blush-flirt-closed.jpg,
